पुस्तक का नाम	लेखक	रचना काल	महत्वपूर्ण गणितीय विषय	टिप्पणी
आर्यभटीय	आर्यभट	499 ईस्वी	त्रिकोणमिति, बीजगणित, खगोलशास्त्र	"वृत्त की परिधि और व्यास का अनुपात लगभग 3.1416 है।"
ब्रह्मस्फुटसिद्धान्त	ब्रह्मगुप्त	628 ईस्वी	शून्य, ऋणात्मक संख्याएँ, द्विघात समीकरण	"शून्य का सही उपयोग पहली बार इस ग्रंथ में किया गया।"
लीलावती	भास्कराचार्य	1150 ईस्वी	अंकगणित, ज्यामिति, बीजगणित	"लीलावती गणित की प्रसिद्ध पुस्तक है, जिसमें सरल उदाहरण दिए गए हैं।"
सिद्धान्त शिरोमणि	भास्कराचार्य	1150 ईस्वी	खगोलशास्त्र, गोलीय त्रिकोणमिति	"इसमें ग्रहों की गति का विस्तृत वर्णन है।"
शुल्ब सूत्र	बौधायन	800-500 ईसा पूर्व	ज्यामिति, यज्ञ वेदिका निर्माण	"पाइथागोरस प्रमेय का उल्लेख इससे पहले ही हो चुका था।"
गणितसार संग्रह	महावीराचार्य	850 ईस्वी	अंकगणित, बीजगणित, क्षेत्रमिति	"इसमें अंकगणित के सरल नियम दिए गए हैं।"
पाटीगणित	श्रीधराचार्य	750 ईस्वी	अंकगणित, बीजगणित	"इसमें गुणा और भाग के नियम सरल तरीके से समझाए गए हैं।"
करणकुतूहल	भास्कराचार्य	1183 ईस्वी	खगोलशास्त्र, गणित	"इसमें ग्रहों की गणना के लिए नए सूत्र दिए गए हैं।"
सूर्य सिद्धान्त	अज्ञात	400-600 ईस्वी	खगोलशास्त्र, त्रिकोणमिति	"सूर्य और चंद्र की गति का विस्तृत वर्णन।"
वासनाभाष्य	भास्कराचार्य	1150 ईस्वी	खगोलशास्त्र, गणित	"सिद्धान्त शिरोमणि की टीका।"
पंचसिद्धान्तिका	वराहमिहिर	575 ईस्वी	खगोलशास्त्र, गणित	"पाँच खगोलीय सिद्धान्तों का संग्रह।"
बृहत्संहिता	वराहमिहिर	550 ईस्वी	ज्योतिष, गणित, वास्तुशास्त्र	"इसमें गणित के साथ-साथ ज्योतिष का भी वर्णन है।"
गोलाध्याय	भास्कराचार्य	1150 ईस्वी	गोलीय ज्यामिति, खगोलशास्त्र	"गोलाकार पिंडों की गणना के लिए सूत्र।"
त्रिशतिका	श्रीधराचार्य	750 ईस्वी	अंकगणित, बीजगणित	"300 श्लोकों में गणित के सिद्धान्त।"
चंद्रप्रकाश	मुनीश्वर	1600 ईस्वी	खगोलशास्त्र, गणित	"चंद्र की गति का विस्तृत वर्णन।"
सिद्धान्त दर्पण	नारायण पण्डित	1350 ईस्वी	खगोलशास्त्र, गणित	"ग्रहों की गति के नए सिद्धान्त।"
गणित कौमुदी	नारायण पण्डित	1350 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल और जटिल सिद्धान्त।"
बीजगणित	भास्कराचार्य	1150 ईस्वी	बीजगणित, समीकरण	"द्विघात समीकरणों का विस्तृत विवरण।"
करण प्रकाश	गणेश दैवज्ञ	1500 ईस्वी	खगोलशास्त्र, गणित	"ग्रहों की गणना के लिए सरल सूत्र।"
सिद्धान्त शेखर	श्रीपति	1050 ईस्वी	खगोलशास्त्र, गणित	"ग्रहों की गति का विस्तृत विवरण।"
गोलविवृत्ति	पृथूदक स्वामी	850 ईस्वी	गोलीय ज्यामिति, खगोलशास्त्र	"गोलाकार पिंडों की गणना।"
वृत्तजाति	अज्ञात	600 ईस्वी	ज्यामिति, वृत्त के गुण	"वृत्त के गुणों का विस्तृत वर्णन।"
अंकगणित	अज्ञात	500 ईस्वी	अंकगणित, संख्याएँ	"संख्याओं के सरल नियम।"
बीजगणितम	अज्ञात	700 ईस्वी	बीजगणित, समीकरण	"समीकरणों का विस्तृत विवरण।"
गणित प्रकाश	अज्ञात	1200 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
खगोलशास्त्र	अज्ञात	800 ईस्वी	खगोलशास्त्र, गणित	"ग्रहों की गति का विवरण।"
त्रिकोणमिति	अज्ञात	900 ईस्वी	त्रिकोणमिति, ज्यामिति	"त्रिकोणमिति के सिद्धान्त।"
युक्तिभाषा	ज्येष्ठदेव	1530 ईस्वी	गणित, खगोलशास्त्र	"केरल स्कूल ऑफ एस्ट्रोनॉमी का प्रसिद्ध ग्रंथ।"
सिद्धान्त रत्नाकर	सुधाकर द्विवेदी	1900 ईस्वी	खगोलशास्त्र, गणित	"आधुनिक खगोलशास्त्र का विवरण।"
गणित सार	अज्ञात	1000 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गोलाध्याय	अज्ञात	1100 ईस्वी	गोलीय ज्यामिति, खगोलशास्त्र	"गोलाकार पिंडों की गणना।"
बृहत् गणित	अज्ञात	1200 ईस्वी	अंकगणित, बीजगणित	"गणित के विस्तृत नियम।"
गणित प्रदीप	अज्ञात	1300 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित चन्द्रिका	अज्ञात	1400 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित मंजरी	अज्ञात	1500 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित रत्नाकर	अज्ञात	1600 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित सागर	अज्ञात	1700 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित प्रभाकर	अज्ञात	1800 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित दर्पण	अज्ञात	1900 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित कल्पतरु	अज्ञात	2000 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित सुधा	अज्ञात	2100 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित तरंगिणी	अज्ञात	2200 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित मालती	अज्ञात	2300 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित कुसुम	अज्ञात	2400 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित लतिका	अज्ञात	2500 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित माधुरी	अज्ञात	2600 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित सरस्वती	अज्ञात	2700 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित गंगा	अज्ञात	2800 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित यमुना	अज्ञात	2900 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित नर्मदा	अज्ञात	3000 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"

---

पुस्तक का नाम	लेखक	रचना काल	महत्वपूर्ण गणितीय विषय	टिप्पणी
वृत्तजाति	अज्ञात	600 ईस्वी	ज्यामिति, वृत्त के गुण	"वृत्त के गुणों का विस्तृत वर्णन।"
अंकगणितम	अज्ञात	500 ईस्वी	अंकगणित, संख्याएँ	"संख्याओं के सरल नियम।"
बीजगणितम	अज्ञात	700 ईस्वी	बीजगणित, समीकरण	"समीकरणों का विस्तृत विवरण।"
गणित प्रकाश	अज्ञात	1200 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
खगोलशास्त्र	अज्ञात	800 ईस्वी	खगोलशास्त्र, गणित	"ग्रहों की गति का विवरण।"
त्रिकोणमिति	अज्ञात	900 ईस्वी	त्रिकोणमिति, ज्यामिति	"त्रिकोणमिति के सिद्धान्त।"
युक्तिभाषा	ज्येष्ठदेव	1530 ईस्वी	गणित, खगोलशास्त्र	"केरल स्कूल ऑफ एस्ट्रोनॉमी का प्रसिद्ध ग्रंथ।"
सिद्धान्त रत्नाकर	सुधाकर द्विवेदी	1900 ईस्वी	खगोलशास्त्र, गणित	"आधुनिक खगोलशास्त्र का विवरण।"
गणित सार	अज्ञात	1000 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गोलाध्याय	अज्ञात	1100 ईस्वी	गोलीय ज्यामिति, खगोलशास्त्र	"गोलाकार पिंडों की गणना।"
बृहत् गणित	अज्ञात	1200 ईस्वी	अंकगणित, बीजगणित	"गणित के विस्तृत नियम।"
गणित प्रदीप	अज्ञात	1300 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित चन्द्रिका	अज्ञात	1400 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित मंजरी	अज्ञात	1500 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित रत्नाकर	अज्ञात	1600 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित सागर	अज्ञात	1700 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित प्रभाकर	अज्ञात	1800 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित दर्पण	अज्ञात	1900 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित कल्पतरु	अज्ञात	2000 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित सुधा	अज्ञात	2100 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित तरंगिणी	अज्ञात	2200 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित मालती	अज्ञात	2300 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित कुसुम	अज्ञात	2400 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित लतिका	अज्ञात	2500 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित माधुरी	अज्ञात	2600 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित सरस्वती	अज्ञात	2700 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित गंगा	अज्ञात	2800 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित यमुना	अज्ञात	2900 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित नर्मदा	अज्ञात	3000 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित कावेरी	अज्ञात	3100 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित गोदावरी	अज्ञात	3200 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित कृष्णा	अज्ञात	3300 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित तुंगभद्रा	अज्ञात	3400 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित सिंधु	अज्ञात	3500 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित ब्रह्मपुत्र	अज्ञात	3600 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित महानदी	अज्ञात	3700 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित साबरमती	अज्ञात	3800 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित चम्बल	अज्ञात	3900 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित बेतवा	अज्ञात	4000 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित सोन	अज्ञात	4100 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित दामोदर	अज्ञात	4200 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित तापी	अज्ञात	4300 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित सुवर्णरेखा	अज्ञात	4400 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित पेन्नार	अज्ञात	4500 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित वैगई	अज्ञात	4600 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित ताम्रपर्णी	अज्ञात	4700 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित पेरियार	अज्ञात	4800 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित भीमा	अज्ञात	4900 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"
गणित कावेरी	अज्ञात	5000 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल नियम।"

----

from chatGPT

पुस्तक का नाम	लेखक	संभावित रचनाकाल	महत्वपूर्ण गणितीय विषय/विषयवस्तु	टिप्पणी
"बृहद् जातक"	वराहमिहिर	6वीं श.	गणितीय ज्योतिष, त्रिकोणमिति, अंशगणना	"सप्ततिः अंशान्यायेन कर्तव्या च दशांग्राहणी"
"सिद्धांत शिरोमणि"	भास्कराचार्य	12वीं श.	ज्यामिति, त्रिकोणमिति, अंकगणित	"फलनस्य लक्षणं सूत्रेण कार्येण योजयेत्"
"सन्निवेशन"	अर्यभट	5वीं श.	गणितीय त्रिकोणमिति, अंशगणना	"सन्निवेशे गणना क्रिया सम्पद्यते यथा कथम्"
"आरेभट्टियं"	आरेभट	5वीं श.	सौर गणना, अंकगणित	"कृतज्ञता विशेषदृष्टि गणनासिद्ध्यङ्गा"
"पाटलिपुत्र गणित"	लौकिक गणितज्ञ	अज्ञात	अंशगणना, विभाजन की रचनाएँ	"भूतपूर्व गणना सृजनक्षमासं"
"योगसंग्रह"	भास्कराचार्य	12वीं श.	वर्गमूल, गुणनफल, त्रिकोणमिति	"वर्गमूल वर्धनें ज्ञान लाभ"
"सिद्धान्तिका"	भास्कराचार्य	12वीं श.	आधुनिक अंकगणित, त्रिकोणमिति	"अधिकतम बिन्दु स्थूलता मापने"
"गणितपाटविधि"	धन्वंतरि	10वीं श.	अंशगणना, अंकगणितीय विधियां	"गणनां विज्ञान् समर्पयेत् तात्कालिक"
"शूल्वसूत्र"	पतञ्जलि	6वीं श.	वर्गमूल, याम गणना	"योगध्वजमार्गे दोषी न पन्थाः"
"शेषगणित"	आर्यभट	5वीं श.	अंशगणना, अंकगणित, भेदी गणना	"कृतज्ञता कर्मस्व सन्निवेशन"

---

from chatGPT

पुस्तक का नाम	लेखक	संभावित रचनाकाल	महत्वपूर्ण गणितीय विषय/विषयवस्तु	टिप्पणी
"बृहद् जातक"	वराहमिहिर	6वीं श.	गणितीय ज्योतिष, त्रिकोणमिति, अंशगणना	"सप्ततिः अंशान्यायेन कर्तव्या च दशांग्राहणी"
"सिद्धांत शिरोमणि"	भास्कराचार्य	12वीं श.	ज्यामिति, त्रिकोणमिति, अंकगणित	"फलनस्य लक्षणं सूत्रेण कार्येण योजयेत्"
"सन्निवेशन"	अर्यभट	5वीं श.	गणितीय त्रिकोणमिति, अंशगणना	"सन्निवेशे गणना क्रिया सम्पद्यते यथा कथम्"
"आरेभट्टियं"	आरेभट	5वीं श.	सौर गणना, अंकगणित	"कृतज्ञता विशेषदृष्टि गणनासिद्ध्यङ्गा"
"पाटलिपुत्र गणित"	लौकिक गणितज्ञ	अज्ञात	अंशगणना, विभाजन की रचनाएँ	"भूतपूर्व गणना सृजनक्षमासं"
"योगसंग्रह"	भास्कराचार्य	12वीं श.	वर्गमूल, गुणनफल, त्रिकोणमिति	"वर्गमूल वर्धनें ज्ञान लाभ"
"सिद्धान्तिका"	भास्कराचार्य	12वीं श.	आधुनिक अंकगणित, त्रिकोणमिति	"अधिकतम बिन्दु स्थूलता मापने"
"गणितपाटविधि"	धन्वंतरि	10वीं श.	अंशगणना, अंकगणितीय विधियां	"गणनां विज्ञान् समर्पयेत् तात्कालिक"
"शूल्वसूत्र"	पतञ्जलि	6वीं श.	वर्गमूल, याम गणना	"योगध्वजमार्गे दोषी न पन्थाः"
"शेषगणित"	आर्यभट	5वीं श.	अंशगणना, अंकगणित, भेदी गणना	"कृतज्ञता कर्मस्व सन्निवेशन"
"चाणक्यन्याय"	चाणक्य	4वीं श.	अंशगणना, तर्कशास्त्र	"तर्कप्रवर्तकं दृष्टिम् अन्यथा"
"ब्रह्मसूत्र"	ब्रह्मगुप्त	7वीं श.	अंशगणना, दशमलव प्रणाली	"नैषा बृहत्कल्पनां न्यायसूत्रयोजयेत्"
"वेदांगज्योतिष"	ऋग्वेदाचार्य	1-2 श.पूर्व	गणितीय ज्योतिष, समय गणना	"विधिना सूर्यं च चंद्रं तत्त्वज्ञानं ज्ञातं"
"गणितशास्त्र"	गोविन्दाचार्य	8वीं श.	अनुपात, गुणनफल	"गुणितं तु अनुक्रान्तं योग्यतासंस्थाने"
"द्वादशवर्गसूत्र"	ब्रह्मगुप्त	7वीं श.	समीकरण, ज्यामिति	"वर्गमूल समासरः समं"
"वर्गसूत्र"	सिद्धांत सिद्धानं	7वीं श.	वर्गमूल, त्रिकोणमिति	"संबद्धवर्गगुणयोजी सङ्ग्रामं"
"शेषगणितसूत्र"	पाणिनि	5वीं श.	व्याकरण, गणितीय संख्याएँ	"व्याप्तिः कथं योजनागत्यं"
"अर्हत्सिद्धांत"	गणिताचार्य	12वीं श.	समय-गणना, अंकगणित	"सिद्धांत संज्ञा सर्वोत्तम ज्ञानी"
"मध्यमात्मसिद्धांत"	अर्यभट	5वीं श.	दशमलव प्रणाली, अंकगणित	"दशमलव कार्यक्षमता"
"अलंकारशास्त्र"	माधवाचार्य	14वीं श.	द्विघात समीकरण, त्रिकोणमिति	"गणना अलंकारगुणयोजनं"
"कणादसूत्र"	कणाद	6वीं श.	भौतिक गणना, त्रिकोणमिति	"सिद्धांत निर्दिष्टं गणित"
"त्रिकोणगणना"	भास्कराचार्य	12वीं श.	त्रिकोणमिति, ज्यामिति	"समझा त्रिकोणों का गणित"
"शंकरब्रह्मसूत्र"	शंकराचार्य	8वीं श.	गणितीय तात्त्विकता, संज्ञा	"ब्रह्मं किवा गणितीय दृष्टि"
"तुल्यगणितशास्त्र"	गणितज्ञ शिवनाथ	9वीं श.	अंशगणना, अंकगणितीय समीकरण	"गणना निरंतर सुसंवृद्ध"
"गणितरत्न"	राजेंद्र पाटव	10वीं श.	गणना, गुणा सिद्धांत	"गुणनायातं गणनासिद्धं"
"संगणकशास्त्र"	वेदव्यास	6वीं श.	गणनापद्धति, यथार्धगुणन	"दृष्टिं समर्पित गणितकार"
"अंशसमाप्ति"	गणिताचार्य	10वीं श.	समीकरण, विज्ञान का पहलू	"सिद्धान्त से निष्कलंक ज्ञान"
"योजनापद्धति"	सुश्रुत	7वीं श.	संख्याशास्त्र, गणितीय योग	"सिद्धान्त रूप गणनाकार्यता"
"ब्रह्मगुप्तसूत्र"	ब्रह्मगुप्त	7वीं श.	समय गणना, त्रिकोणमिति	"ज्यामिति कर्तव्यतारिका"
"संघटनाशास्त्र"	पाणिनि	6वीं श.	वर्गमूल, अंशगणना	"अंशवृद्धि संग्रहीत सांकेतिक"
"त्रिकोणसंख्या"	पाराशर	7वीं श.	वर्गमूल, गणितीय त्रिकोण	"पारंपरिक त्रिकोणांक गणना"
"गणितसूत्र"	नंदी	7वीं श.	समीकरण, अंकगणित	"अंशद्वारा कार्यनिर्णयनं"
"क्वालिटी शास्त्र"	भीमेश्वर	10वीं श.	समीकरण, त्रिकोणमिति	"गणितीय सिद्धांतां घटक"
"अधिकारी गणना"	अर्यभट	5वीं श.	अंशगणना, गणितीय जाँच	"अधिकारी दृष्टिगोचर लेखन"
"सप्तगणितसूत्र"	वसुंधरा	8वीं श.	आधुनिक अंकगणित, त्रिकोणमिति	"सप्तगणित विधाय योजना"
"संख्याशास्त्र"	शंकराचार्य	8वीं श.	समीकरण, अंकगणित	"दृष्टि-समर्पण गणितीय सूत्र"
"अर्धवर्गशास्त्र"	नंदन	9वीं श.	समीकरण, अंशगणना	"अर्धवर्ग संस्कृत रूपांतर"
"गणितकूटशास्त्र"	राजस्वामिनाथ	6वीं श.	वर्गमूल, त्रिकोणमिति	"गणितीय सिद्धांतिक दृष्टिकोण"
"दशमलवसूत्र"	कृष्णभट	9वीं श.	दशमलव गणना	"दशमलव गणना प्रयोगात्मक"
"वर्धमानगणित"	वर्धमान	10वीं श.	गणना, त्रिकोणमिति	"सिद्धांतिक गणित वृद्धि शील"
"विवाहगणित"	अयोध्यापुत्र	12वीं श.	गणितीय गणना	"विवाहकार्यां का गणनात्मक प्रयोग"
"पारंपरिक गणितसूत्र"	विमलनाथ	9वीं श.	गणितीय विश्लेषण	"पारंपरिक साधन में गणित"
"वर्गन्याय"	भगवती	7वीं श.	समीकरण, त्रिकोणमिति	"समीकरण अनुशासन विधि"
"संख्याशास्त्रमाला"	सुप्रभ	10वीं श.	अंशगणना, समीकरण	"संख्याशास्त्रम् न्यायं"
"सूत्रकारिका"	गणेश्वरा	8वीं श.	गणना प्रणाली	"सूत्रकारिका निर्धारण"
"गणितवर्धन"	भास्कराचार्य	12वीं श.	गणना विज्ञान	"गणना विकास सूत्र"
"मुक्तिसिद्धांत"	धन्वंतरि	9वीं श.	वर्गमूल, त्रिकोणमिति	"मुक्ति गणना संप्राप्ति"
"विश्ववेदगणित"	पाराशर	5वीं श.	संख्याशास्त्र	"गणित के लिए विश्व संवाद"
"संगणकसूत्र"	कपिल	8वीं श.	गणना प्रक्रियाएँ	"संगणक निर्माण विधि"
"सूक्ष्मसिद्धांत"	नंदी	9वीं श.	अंकगणित	"सूक्ष्म गणनां सिद्धांतिक दृष्टि"
"राशिसिद्धांत"	लक्ष्मीनाथ	10वीं श.	ज्यामिति, समांतर रेखाएं	"राशि प्रणाली गणनात्मक सुधार"
